Class,Sheet,Cell,NamedRange,Formula,Value(data_only),Direct Precedents
FINAL,Calculations,B1,Cost_per_kg_base,=Total_Cost_Per_Batch/Final_Product_After_Spray_Drying,2054.3201556844856,"Final Costs!B8, Calculations!B126"
INTERMEDIATE,Calculations,B25,Seed_Train_Duration,=SO_time+S1_time+S2_time+S3_time,16,"Inputs and Assumptions!B34, Inputs and Assumptions!B37, Inputs and Assumptions!B31, Calculations!S1, Inputs and Assumptions!B28, Calculations!S3, Calculations!S2"
INTERMEDIATE,Calculations,B29,DCW,=OD_600*OD_Biomass_Factor,60,"Inputs and Assumptions!B43, Inputs and Assumptions!B42"
INTERMEDIATE,Calculations,B30,Biomass_Volume,=(DCW/(Cell_Density*(Cell_Solids)))*100,190.47619047619045,"Calculations!B29, Inputs and Assumptions!B44, Inputs and Assumptions!B45"
INTERMEDIATE,Calculations,B31,Sludge_Volume,=(DCW/(Cell_Density*(Sludge_Solids_Content)))*100,285.7142857142857,"Inputs and Assumptions!B47, Calculations!B29, Inputs and Assumptions!B44"
INTERMEDIATE,Calculations,B33,Supernant_Volume,=1000-Biomass_Volume,809.5238095238095,Calculations!B30
INTERMEDIATE,Calculations,B34,Entrained_supernatant_volume_in_sludge,=Sludge_Volume-Biomass_Volume,95.23809523809527,"Calculations!B31, Calculations!B30"
INTERMEDIATE,Calculations,B40,Dilution_required,"=IF((((DCW/((1000*Target_product_loss*315)/(500+1000*Target_product_loss))))-1)>=0,(((DCW/((1000*Target_product_loss*315)/(500+1000*Target_product_loss))))-1),0)",0.14285714285714324,"Calculations!B29, Calculations!B110"
INTERMEDIATE,Calculations,B41,Post_dilution_broth_volume,=Working_Volume*(1+Dilution_required),80000.00000000003,"Inputs and Assumptions!B16, Calculations!B40"
INTERMEDIATE,Calculations,B42,Harvested_supernatant_volume,=(((Supernant_Volume/1000)*Working_Volume)+(Working_Volume*Dilution_required)-((Entrained_supernatant_volume_in_sludge/1000)*Working_Volume)),60000.000000000015,"Calculations!B33, Inputs and Assumptions!B16, Calculations!B34, Calculations!B40"
INTERMEDIATE,Calculations,B47,Product_concentration_to_DSP,=(Harvested_supernatant_volume*Supernatant_Product)/Working_Volume,4.2857142857142865,"Calculations!B42, Inputs and Assumptions!B16, Inputs and Assumptions!B7"
INTERMEDIATE,Calculations,B52,Seed_Train_Time,=Seed_Train_Duration,16,Calculations!B25
INTERMEDIATE,Calculations,B53,Main_Fermentation_Time,=Fermentation_Time,48,Inputs and Assumptions!B17
INTERMEDIATE,Calculations,B54,MF_Time,=Post_dilution_broth_volume/Microfiltration_Flux/MF_Membrane_Area,22.222222222222232,"Inputs and Assumptions!B73, Inputs and Assumptions!B72, Calculations!B41"
INTERMEDIATE,Calculations,B55,UF_Time,=Harvested_supernatant_volume/UF_DF_Flux/UF_Membrane_Area,20.000000000000007,"Inputs and Assumptions!B87, Calculations!B42, Inputs and Assumptions!B89"
INTERMEDIATE,Calculations,B56,DF_Time,=(Diafiltration_Volumes*Post_UF_Volume)/(UF_DF_Flux*UF_Membrane_Area),5.000000000000001,"Inputs and Assumptions!B87, Inputs and Assumptions!B89, Calculations!B112, Inputs and Assumptions!B90"
INTERMEDIATE,Calculations,B57,Chromatography_Time,=10,10,
INTERMEDIATE,Calculations,B58,Pre_Drying_TFF_Time,=(Working_Volume/UF_Concentration_Factor)/Pre_Drying_Concentration_Factor/Pre_Drying_TFF_Flux/Pre_Drying_TFF_Membrane_Area,0.5714285714285714,"Inputs and Assumptions!B117, Inputs and Assumptions!B16, Inputs and Assumptions!B118, Inputs and Assumptions!B88, Inputs and Assumptions!B119"
INTERMEDIATE,Calculations,B59,Spray_Drying_Time,=Pre_Drying_Volume*(1-Final_Solids_Content)*Solution_Density/Spray_Dryer_Capacity,3.672000000000001,"Inputs and Assumptions!B130, Inputs and Assumptions!B129, Calculations!B119, Inputs and Assumptions!B127"
INTERMEDIATE,Calculations,B60,Turnaround_CIP_Time,=Turnaround_Time,24,Inputs and Assumptions!B18
INTERMEDIATE,Calculations,B70,Initial_Glucose,=Working_Volume * Initial_Glucose_Concentration/1000,1400,"Inputs and Assumptions!B50, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B71,Fed_Batch_Glucose,=((DCW/1000)*Working_Volume)/Biomass_Yield_on_Glucose-Initial_Glucose,7350,"Calculations!B29, Inputs and Assumptions!B59, Calculations!B70, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B72,Initial_Glycerol,=Working_Volume * Initial_Glycerol_Concentration/1000,1400,"Inputs and Assumptions!B48, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B73,Fed_Batch_Glycerol,=((DCW/1000)*Working_Volume)/Biomass_Yield_on_Glycerol-Initial_Glycerol,5841.379310344828,"Calculations!B29, Calculations!B72, Inputs and Assumptions!B16, Inputs and Assumptions!B60"
INTERMEDIATE,Calculations,B76,Initial_Molasses,=Working_Volume * Initial_Molasses_Concentration/1000,2800,"Inputs and Assumptions!B16, Inputs and Assumptions!B54"
INTERMEDIATE,Calculations,B77,Fed_Batch_Molasses,=((DCW/1000)*Working_Volume)/Biomass_Yield_on_Molasses-Initial_Molasses,14000,"Calculations!B29, Calculations!B76, Inputs and Assumptions!B62, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B78,Feed_Solution_Volume,=(Fed_Batch_Glucose/(Feed_Glucose_Concentration/1000)),14700,"Calculations!B71, Inputs and Assumptions!B51"
INTERMEDIATE,Calculations,B82,Total_Glucose_Per_Batch,=Initial_Glucose+Fed_Batch_Glucose,8750,"Calculations!B70, Calculations!B71"
INTERMEDIATE,Calculations,B83,Total_Glycerol_Per_Batch,=Initial_Glycerol+Fed_Batch_Glycerol,7241.379310344828,"Calculations!B72, Calculations!B73"
INTERMEDIATE,Calculations,B85,Total_Molasses_Per_Batch,=Initial_Molasses+Fed_Batch_Molasses,16800,"Calculations!B76, Calculations!B77"
INTERMEDIATE,Calculations,B86,Yeast_Extract_Per_Batch,=(Working_Volume-Feed_Solution_Volume)*(Yeast_Extract_Concentration/1000),553,"Inputs and Assumptions!B57, Calculations!B78, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B87,Peptone_Per_Batch,=(Working_Volume-Feed_Solution_Volume)*(Peptone_Concentration/1000),1106,"Inputs and Assumptions!B58, Calculations!B78, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B88,Antifoam_Volume,=Working_Volume*Antifoam_Dosage/100,70,"Inputs and Assumptions!B142, Inputs and Assumptions!B16"
INTERMEDIATE,Calculations,B105,Harvest_Volume,=Harvested_supernatant_volume,60000.000000000015,Calculations!B42
INTERMEDIATE,Calculations,B106,Actual_Supernatant_Concentration,=Product_concentration_to_DSP,4.2857142857142865,Calculations!B47
INTERMEDIATE,Calculations,B107,Initial_Product_Amount,=(Actual_Supernatant_Concentration*Harvest_Volume)/1000,257.1428571428572,"Calculations!B106, Calculations!B105"
INTERMEDIATE,Calculations,B108,Product_After_MF,=Initial_Product_Amount*MF_Efficiency,231.4285714285715,"Calculations!B107, Inputs and Assumptions!B71"
INTERMEDIATE,Calculations,B110,Target_product_loss,=1-MF_Efficiency,0.09999999999999998,Inputs and Assumptions!B71
INTERMEDIATE,Calculations,B111,Product_After_UF_DF,=Product_After_MF*UF_DF_Efficiency,219.85714285714292,"Calculations!B108, Inputs and Assumptions!B86"
INTERMEDIATE,Calculations,B112,Post_UF_Volume,=Harvested_supernatant_volume/UF_Concentration_Factor,3000.000000000001,"Inputs and Assumptions!B88, Calculations!B42"
INTERMEDIATE,Calculations,B113,Product_After_Chromatography,=Product_After_UF_DF*Chromatography_Yield,175.88571428571436,"Calculations!B111, Inputs and Assumptions!B93"
INTERMEDIATE,Calculations,B119,Pre_Drying_Volume,=Post_UF_Volume/Pre_Drying_Concentration_Factor,600.0000000000002,"Calculations!B112, Inputs and Assumptions!B119"
INTERMEDIATE,Calculations,B126,Final_Product_After_Spray_Drying;Final_Product_After_Spray_Drying2;X,=(Initial_Product_Amount*DSP_Yield_Analysis!D9),163.74960000000007,"Calculations!B107, DSP_Yield_Analysis!D9, Calculations!D9"
INTERMEDIATE,Calculations,B130,MF_Buffer_Volume,=Working_Volume*Dilution_required,10000.000000000027,"Inputs and Assumptions!B16, Calculations!B40"
INTERMEDIATE,Calculations,B131,DF_Buffer_Volume,=Post_UF_Volume*Diafiltration_Volumes,15000.000000000004,"Calculations!B112, Inputs and Assumptions!B90"
INTERMEDIATE,Calculations,B132,Batch_Load_Chromatography,"=IF(Chromatography_Yield>0,Product_After_Chromatography/Chromatography_Yield,0)",219.85714285714295,"Calculations!B113, Inputs and Assumptions!B93"
INTERMEDIATE,Calculations,B133,Resin_Volume_Needed,=Product_After_UF_DF*1000/Chromatography_Dynamic_Capacity,3664.2857142857156,"Calculations!B111, Inputs and Assumptions!B92"
INTERMEDIATE,Calculations,B134,Cycles_Required,"=MAX(1,CEILING(Batch_Load_Chromatography/(DBC_g_per_L*Column_Volume_L*Columns_in_Service*Utilization_pct),1))",1,"Inputs and Assumptions!B98, Inputs and Assumptions!B101, Inputs and Assumptions!B99, Calculations!B132, Inputs and Assumptions!B100"
INTERMEDIATE,Calculations,B135,Wash1_Volume_L,=Wash1_BV*Column_Volume_L*Columns_in_Service*Cycles_Required,45000,"Inputs and Assumptions!B94, Inputs and Assumptions!B98, Inputs and Assumptions!B99, Was!h1, Calculations!ash1, Calculations!B134"
INTERMEDIATE,Calculations,B136,Wash2_Volume_L,=Wash2_BV*Column_Volume_L*Columns_in_Service*Cycles_Required,30000,"Inputs and Assumptions!B98, Was!h2, Calculations!ash2, Inputs and Assumptions!B95, Inputs and Assumptions!B99, Calculations!B134"
INTERMEDIATE,Calculations,B137,Elution_Volume_L,=Elution_BV*Column_Volume_L*Columns_in_Service*Cycles_Required,75000,"Inputs and Assumptions!B98, Inputs and Assumptions!B99, Calculations!B134, Inputs and Assumptions!B96"
INTERMEDIATE,Calculations,B138,Strip_Volume_L,=Strip_BV*Column_Volume_L*Columns_in_Service*Cycles_Required,30000,"Inputs and Assumptions!B98, Inputs and Assumptions!B99, Inputs and Assumptions!B97, Calculations!B134"
INTERMEDIATE,Calculations,B144,Pre_Drying_TFF_Buffer_Volume,=Post_UF_Volume*2,6000.000000000002,Calculations!B112
INTERMEDIATE,Calculations,B159,CIP_Water_Volume,=(Working_Volume/1000)*3,210,Inputs and Assumptions!B16
INTERMEDIATE,Calculations,B167,Carbon_source_Cost_Total,"=IF(B65=""Glucose"",(Total_Glucose_Per_Batch*Glucose_Cost),(IF(B65=""Glycerol"",(Total_Glycerol_Per_Batch*Glycerol_Cost),(IF(B65=""Molasses"",(Total_Molasses_Per_Batch*Molasses_Cost),""Choose carbon source"")))))",6562.5,"Inputs and Assumptions!B134, Calculations!B83, Calculations!B65, Inputs and Assumptions!B135, Calculations!B82, Inputs and Assumptions!B137, Calculations!B85"
INTERMEDIATE,Calculations,B168,Yeast_Extract_Cost_Total,=Yeast_Extract_Per_Batch*Yeast_Extract_Cost,6636,"Calculations!B86, Inputs and Assumptions!B138"
INTERMEDIATE,Calculations,B169,Peptone_Cost_Total,=Peptone_Per_Batch*Peptone_Cost,16590,"Calculations!B87, Inputs and Assumptions!B139"
INTERMEDIATE,Calculations,B170,Minor_Nutrients_Cost_Total,=Minor_Nutrients_Cost,500,Inputs and Assumptions!B140
INTERMEDIATE,Calculations,B171,Antifoam_Cost_Total,=Antifoam_Volume*Antifoam_Cost,700,"Inputs and Assumptions!B141, Calculations!B88"
INTERMEDIATE,Calculations,B172,MF_Membrane_Cost_Total,=10*MF_Membrane_Cost/MF_Membrane_Lifetime,200,"Inputs and Assumptions!B145, Inputs and Assumptions!B146"
INTERMEDIATE,Calculations,B173,Buffer_cost_per_L_MF,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000,0.0017999999999999997,"Inputs and Assumptions!B152, Inputs and Assumptions!B151, Inputs and Assumptions!B153"
INTERMEDIATE,Calculations,B174,MF_Buffer_Cost,=MF_Buffer_Volume*Buffer_cost_per_L_MF,18.000000000000046,"Calculations!B130, Calculations!B173"
INTERMEDIATE,Calculations,B175,UF_Membrane_Cost_Total,=8*UF_Membrane_Cost/UF_Membrane_Lifetime,120,"Inputs and Assumptions!B148, Inputs and Assumptions!B147"
INTERMEDIATE,Calculations,B176,Buffer_cost_per_L_UF,=(Phosphate_M*Phosphate_MW_g_per_mol*Phosphate_Cost)/1000,0.0017999999999999997,"Inputs and Assumptions!B152, Inputs and Assumptions!B151, Inputs and Assumptions!B153"
INTERMEDIATE,Calculations,B177,UF_Buffer_Cost,=DF_Buffer_Volume*Buffer_cost_per_L_UF,27.000000000000004,"Calculations!B176, Calculations!B131"
