Scale,Separation Technology,Annual Production (kg),CMO Pricing Tier,Cost per kg ($),Total Annual Cost ($),Buffer Cost ($),Separation Cost ($)
pilot,microfiltration,4500.089999999999,tier_1,5676.707816684653,25545696.078784436,65157.9881337,238.88698630136986
pilot,disc_centrifuge,4500.089999999999,tier_1,5710.19739422948,25696402.191798136,65157.9881337,150945.0
pilot,depth_filtration,4500.089999999999,tier_1,5676.676170818331,25545553.66953786,65157.9881337,96.4777397260274
pilot,flocculation_centrifuge,4500.089999999999,tier_1,5730.416156520901,25787388.441798136,65157.9881337,241931.25
small_commercial,microfiltration,15000.3,tier_3,1701.4152772766772,25521739.58373334,217193.29377899994,796.2899543378995
small_commercial,disc_centrifuge,15000.3,tier_3,1711.5719881455038,25674093.293779,217193.29377899994,153150.0
small_commercial,depth_filtration,15000.3,tier_3,1701.3836314103555,25521264.886244755,217193.29377899994,321.5924657534247
small_commercial,flocculation_centrifuge,15000.3,tier_3,1720.1243170989248,25802380.793779,217193.29377899994,281437.5
medium_commercial,microfiltration,37500.74999999999,tier_4,828.2955029802866,31061702.58338798,542983.2344475,1990.7248858447488
medium_commercial,disc_centrifuge,37500.74999999999,tier_4,832.4523338467135,31217586.858502135,542983.2344475,157875.0
medium_commercial,depth_filtration,37500.74999999999,tier_4,828.2638571139651,31060515.83966652,542983.2344475,803.9811643835617
medium_commercial,flocculation_centrifuge,37500.74999999999,tier_4,838.0047227989345,31425805.608502135,542983.2344475,366093.75
large_commercial,microfiltration,75001.49999999999,tier_4,573.4928009724925,43012820.31213839,1085966.468895,3981.4497716894975
large_commercial,disc_centrifuge,75001.49999999999,tier_4,575.6496718381194,43174588.862366706,1085966.468895,165750.0
large_commercial,depth_filtration,75001.49999999999,tier_4,573.461155106171,43010446.824695475,1085966.468895,1607.9623287671234
large_commercial,flocculation_centrifuge,75001.49999999999,tier_4,580.2020807899404,43516026.362366706,1085966.468895,507187.5
